,word
0,highway
1,behind
2,socialism
3,afghanistan
4,business
5,hard
6,short
7,experience
8,problem
9,massive
10,percent
11,modern
12,miss
13,tyrant
14,anybody
15,young
16,college
17,cuba
18,energy
19,camp
20,honestly
21,background
22,provide
23,pool
24,dad
25,underinsured
26,engage
27,latino
28,republican
29,effective
30,committee
31,beyond
32,record
33,office
34,love
35,excuse
36,immigration
37,threat
38,carolina
39,society
40,focus
41,leadership
42,agent
43,process
44,confess
45,response
46,party
47,government
48,interest
49,nobody
50,truth
51,intimidate
52,daca
53,authoritarian
54,mccain
55,credit
56,vision
57,emergency
58,april
59,invade
60,solid
61,fundamentally
62,within
63,earth
64,strongly
65,protection
66,skin
67,nafta
68,grotesque
69,incumbent
70,phone
71,tax
72,address
73,nearly
74,female
75,due
76,fear
77,arabia
78,simply
79,man
80,frisk
81,seat
82,separation
83,constitution
84,maduro
85,nonsense
86,crush
87,terror
88,ultimately
89,taliban
90,drought
91,result
92,pack
93,laid
94,half
95,sander
96,amount
97,furthermore
98,carpenter
99,principle
100,listen
101,slavery
102,technology
103,throughout
104,iraqi
105,otherwise
106,wealthy
107,meant
108,born
109,company
110,disagreement
111,labor
112,immigrant
113,basis
114,yeah
115,baby
116,pocket
117,variety
118,lifetime
119,france
120,expunge
121,guaranteed
122,zip
123,discussion
124,kurd
125,disgust
126,everything
127,marshall
128,sexual
129,mistake
130,generation
131,inflation
132,decent
133,bloomberg
134,obligation
135,stood
136,incarceration
137,substantially
138,thousand
139,somehow
140,adam
141,quo
142,university
143,suspect
144,democrat
145,minimum
146,free
147,luxury
148,radical
149,epidemic
150,thirdly
151,find
152,occasionally
153,primary
154,subsidize
155,capitalism
156,modest
157,surprised
158,midwest
159,dirt
160,resilience
161,ashamed
162,option
163,vicious
164,summer
165,betray
166,general
167,require
168,violation
169,insured
170,shut
171,account
172,israel
173,sad
174,understands
175,insulin
176,unbelievable
177,special
178,deep
179,greatest
180,appreciate
181,billing
182,king
183,prepared
184,emission
185,remove
186,prevent
187,salvador
188,humanitarian
189,system
190,powerful
191,spent
192,permanent
193,polarize
194,addition
195,product
196,stuff
197,destroy
198,loophole
199,age
200,addict
201,standard
202,decide
203,improvement
204,function
205,actual
206,remark
207,outrage
208,amazon
209,old
210,universal
211,alienate
212,waste
213,twitter
214,nominate
215,employer
216,grow
217,unless
218,concentration
219,seem
220,pathological
221,another
222,iowa
223,strong
224,training
225,minority
226,executive
227,person
228,path
229,book
230,middleclass
231,billion
232,brutal
233,dealt
234,civil
235,prescription
236,nevada
237,jongun
238,parent
239,passing
240,aggressive
241,common
242,men
243,outofpocket
244,largest
245,donald
246,economic
247,revolution
248,budget
249,candidate
250,voting
251,iraq
252,contract
253,rating
254,weapon
255,expensive
256,dysfunctional
257,obama
258,acknowledge
259,least
260,relocate
261,policy
262,investigate
263,voter
264,forgive
265,teacher
266,wall
267,expansion
268,release
269,advantage
270,poll
271,hearing
272,finish
273,health
274,ugly
275,practice
276,david
277,russian
278,set
279,wait
280,morning
281,appropriate
282,transition
283,parenthood
284,roosevelt
285,state
286,entity
287,bernie
288,obviously
289,cash
290,speech
291,pain
292,offense
293,please
294,deny
295,manage
296,online
297,pntr
298,piece
299,folk
300,eliminate
301,vast
302,deserve
303,ahead
304,bottom
305,publish
306,form
307,drag
308,north
309,diagnosis
310,give
311,priority
312,bit
313,coalition
314,historic
315,public
316,compete
317,luther
318,planet
319,agreement
320,tire
321,ripped
322,poverty
323,liar
324,incredible
325,prosecute
326,humane
327,industry
328,anything
329,cdc
330,room
331,michigan
332,five
333,reelection
334,absurd
335,consume
336,notice
337,suggest
338,suddenly
339,candidacy
340,town
341,selfserving
342,international
343,dictatorship
344,draw
345,yemen
346,small
347,terrorist
348,presidential
349,mine
350,farmer
351,native
352,medical
353,possibly
354,elizabeth
355,independent
356,dismember
357,arrest
358,sorry
359,foreign
360,chew
361,asset
362,social
363,tear
364,disaster
365,black
366,price
367,sale
368,simple
369,proposal
370,concept
371,depend
372,nickel
373,almost
374,class
375,true
376,drop
377,floor
378,mcconnell
379,kim
380,canada
381,watch
382,disproportionately
383,refugee
384,expand
385,corporate
386,vega
387,rugged
388,gang
389,overturn
390,hundred
391,personally
392,sick
393,design
394,buying
395,currently
396,affair
397,healthcare
398,insane
399,among
400,anymore
401,danger
402,vietnam
403,gun
404,raise
405,reject
406,duty
407,mention
408,mexican
409,hold
410,oppose
411,destruction
412,whole
413,case
414,border
415,deductible
416,ordinary
417,wealth
418,dangerous
419,reduce
420,minus
421,unemployed
422,fail
423,mitch
424,determine
425,younger
426,edge
427,representative
428,medicare
429,secretary
430,united
431,disgrace
432,administrative
433,housing
434,cap
435,virtually
436,national
437,cut
438,conflict
439,acquittal
440,protect
441,earn
442,rent
443,congress
444,early
