,word
0,highway
1,behind
2,dark
3,disparity
4,afghanistan
5,business
6,worried
7,hard
8,short
9,experience
10,cabinet
11,problem
12,asylum
13,massive
14,vindman
15,capacity
16,percent
17,equip
18,miss
19,modern
20,boyfriend
21,anybody
22,young
23,quickest
24,jinping
25,college
26,gold
27,energy
28,camp
29,escape
30,honestly
31,meeting
32,background
33,provide
34,dad
35,moon
36,engage
37,latino
38,republican
39,worth
40,committee
41,candid
42,beyond
43,record
44,office
45,inspector
46,gay
47,love
48,held
49,excuse
50,immigration
51,air
52,threat
53,carolina
54,focus
55,society
56,process
57,response
58,party
59,government
60,investment
61,interest
62,nobody
63,imminent
64,kennedy
65,truth
66,project
67,intimidate
68,daca
69,authoritarian
70,francisco
71,mccain
72,credit
73,vision
74,fewer
75,syria
76,pathway
77,clean
78,commander
79,artificial
80,fundamentally
81,within
82,missile
83,local
84,constituency
85,game
86,strongly
87,march
88,heck
89,gigantic
90,phone
91,tax
92,nearly
93,division
94,amend
95,prisoner
96,building
97,gas
98,broad
99,fear
100,arabia
101,simply
102,reinstate
103,man
104,frisk
105,reelect
106,ship
107,behavior
108,constitution
109,either
110,maduro
111,travel
112,crush
113,terror
114,taliban
115,pack
116,beijing
117,laid
118,half
119,sander
120,pelosi
121,pull
122,amount
123,thug
124,grade
125,principle
126,listen
127,survive
128,object
129,stronger
130,enrol
131,effect
132,busing
133,technology
134,throughout
135,iraqi
136,confidence
137,mileage
138,otherwise
139,quickly
140,card
141,wealthy
142,meant
143,company
144,buyback
145,labor
146,baby
147,accord
148,immigrant
149,yeah
150,pocket
151,basis
152,boy
153,staff
154,lifetime
155,reward
156,regime
157,expunge
158,hide
159,guaranteed
160,zip
161,kurd
162,everything
163,leaf
164,generation
165,mistake
166,inflation
167,minnesota
168,decent
169,bloomberg
170,obligation
171,stood
172,thousand
173,generic
174,onto
175,somehow
176,hardworking
177,affection
178,guantanamo
179,university
180,surprise
181,married
182,democrat
183,minimum
184,replace
185,positive
186,free
187,humanity
188,grandpa
189,grant
190,lady
191,intelligence
192,network
193,thirdly
194,find
195,realistic
196,primary
197,side
198,deport
199,patriot
200,subsidize
201,domestic
202,authentic
203,congressional
204,surprised
205,systematic
206,midwest
207,resilience
208,ashamed
209,qualify
210,option
211,site
212,florida
213,bone
214,prosecutor
215,general
216,require
217,ukraine
218,conduct
219,violation
220,hang
221,shut
222,faith
223,apart
224,carnage
225,israel
226,understands
227,special
228,equal
229,greatest
230,hyde
231,billing
232,additional
233,restrict
234,king
235,trigger
236,prepared
237,port
238,exclude
239,emission
240,remove
241,measure
242,alliance
243,prevent
244,salvador
245,system
246,podium
247,spent
248,thrown
249,addition
250,depends
251,product
252,loophole
253,uyghurs
254,age
255,justify
256,standard
257,infant
258,decide
259,drink
260,registration
261,ginsburg
262,actual
263,vacuum
264,information
265,old
266,universal
267,waste
268,overall
269,japan
270,embassy
271,nominate
272,employer
273,grow
274,brain
275,campus
276,unless
277,concentration
278,seem
279,discover
280,decrease
281,another
282,meantime
283,tariff
284,iowa
285,strong
286,training
287,minority
288,executive
289,person
290,employee
291,book
292,middleclass
293,motor
294,billion
295,monitor
296,dealt
297,civil
298,prescription
299,value
300,nevada
301,spectrum
302,jongun
303,parent
304,alike
305,found
306,strike
307,passing
308,interrupt
309,men
310,partner
311,fin
312,largest
313,donald
314,treatment
315,economic
316,track
317,unify
318,loyal
319,revolution
320,taxpayer
321,distinction
322,budget
323,voting
324,candidate
325,pacific
326,iraq
327,usually
328,nbc
329,witness
330,weapon
331,size
332,obama
333,acknowledge
334,least
335,store
336,relocate
337,policy
338,exchange
339,property
340,agrees
341,voter
342,serve
343,return
344,environment
345,teacher
346,wall
347,difficult
348,release
349,poll
350,exonerate
351,hearing
352,finish
353,science
354,detail
355,fun
356,salary
357,electric
358,license
359,health
360,shape
361,practice
362,dump
363,generally
364,david
365,set
366,russian
367,wait
368,built
369,morning
370,transition
371,nominee
372,roosevelt
373,illegal
374,state
375,bernie
376,gain
377,closer
378,red
379,pain
380,open
381,offense
382,please
383,manage
384,deny
385,heal
386,hook
387,knock
388,piece
389,folk
390,eliminate
391,aisle
392,sue
393,everyone
394,vast
395,deserve
396,host
397,ahead
398,list
399,bottom
400,publish
401,form
402,welcome
403,proven
404,north
405,give
406,priority
407,bit
408,sacred
409,coalition
410,anywhere
411,public
412,compete
413,delaware
414,bader
415,pressure
416,ready
417,command
418,smart
419,agreement
420,repeatedly
421,tire
422,ripped
423,tune
424,incredible
425,liar
426,prosecute
427,humane
428,industry
429,box
430,holiday
431,anything
432,data
433,cdc
434,room
435,five
436,overcome
437,reelection
438,vladimir
439,disclose
440,notice
441,suggest
442,town
443,international
444,dictatorship
445,critical
446,small
447,terrorist
448,mine
449,team
450,farmer
451,pretty
