,date,debate_name,debate_section,speaker,speech,speaking_time_seconds,candidate,bow_representation
0,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah ODonnell,Good evening and welcome the Democratic presidential primary here in South Carolina. The first primary in the South is just four days away.,8.0,False,"[('good', 1), ('even', 1), ('welcome', 1), ('democratic', 1), ('presidential', 1), ('primary', 2), ('south', 2), ('carolina', 1), ('the', 1), ('day', 1)]"
1,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,And Super Tuesday is just a week away and this is the biggest primary day of the year as voters in 14 states cast ballots and many of them tell us they have not actually made up their mind. So this debate when you think about it tonight may be the last best chance for the candidates to make their case to South Carolina and Super Tuesday voters.,22.0,False,"[('and', 1), ('super', 2), ('tuesday', 2), ('week', 1), ('biggest', 1), ('primary', 1), ('voter', 2), ('state', 1), ('cast', 1), ('ballot', 1), ('make', 1), ('mind', 1), ('may', 1), ('chance', 1), ('candidate', 1), ('case', 1), ('south', 1), ('carolina', 1)]"
2,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah ODonnell,And CBS News is proud to bring you this debate along with our co-sponsors. They are the Democratic National Committee and the Congressional Black Caucus Institute a nonpartisan organization committed to educating voters and training political leaders.,14.0,False,"[('and', 1), ('cbs', 1), ('news', 1), ('proud', 1), ('along', 1), ('cosponsors', 1), ('they', 1), ('democratic', 1), ('national', 1), ('committee', 1), ('congressional', 1), ('black', 1), ('caucus', 1), ('institute', 1), ('nonpartisan', 1), ('organization', 1), ('commit', 1), ('educate', 1), ('voter', 1), ('training', 1), ('leader', 1)]"
3,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,And we are partnering tonight also with Twitter. So you at home can participate in this debate. How do you do that? Send us your questions for the candidates using the Twitter hashtag DemDebate.,10.0,False,"[('and', 1), ('partner', 1), ('twitter', 2), ('home', 1), ('participate', 1), ('how', 1), ('send', 1), ('question', 1), ('candidate', 1), ('use', 1), ('hashtag', 1), ('demdebate', 1)]"
4,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah ODonnell,Now here are the rules for the next two hours. When you were asked a question you will have one minute and 15 seconds to answer and 45 seconds for followups. So let begin. Senator Sanders we  had a national unemployment rate this low for this long in 50 years. Here in South Carolina the unemployment rate is even lower. How will you convince voters that a democratic socialist can do better than President Trump with the economy?,31.0,False,"[('now', 1), ('rule', 1), ('hour', 1), ('when', 1), ('ask', 1), ('minute', 1), ('second', 2), ('followup', 1), ('senator', 1), ('sander', 1), ('national', 1), ('unemployment', 2), ('rate', 2), ('low', 1), ('year', 1), ('here', 1), ('south', 1), ('carolina', 1), ('lower', 1), ('how', 1), ('convince', 1), ('voter', 1), ('democratic', 1), ('socialist', 1), ('well', 1), ('president', 1), ('trump', 1), ('economy', 1)]"
5,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,Well  right the economy is doing really great for people like Mr. Bloomberg and other billionaires. In the last three years last three years billionaires in this country saw an $850 billion increase in their wealth. But you know what for the ordinary American things are not so good. Last year real wage increases for the average worker were less than one percent. Half of our people are living paycheck to paycheck. 87 million Americans have no health insurance or are under-insured. 45 million people are struggling with student debt. 500000 people tonight are sleeping out on the street including 30000 veterans. That is not an economy  working for the American people. That an economy working for the one percent.  going to create an economy for all not just wealthy campaign contributors.,59.0,True,"[('well', 1), ('economy', 4), ('mr', 1), ('bloomberg', 1), ('billionaire', 2), ('year', 2), ('saw', 1), ('billion', 1), ('increase', 2), ('wealth', 1), ('but', 1), ('ordinary', 1), ('american', 3), ('thing', 1), ('last', 1), ('wage', 1), ('average', 1), ('worker', 1), ('less', 1), ('percent', 2), ('half', 1), ('living', 1), ('paycheck', 2), ('million', 2), ('health', 1), ('insurance', 1), ('underinsured', 1), ('struggle', 1), ('student', 1), ('debt', 1), ('sleep', 1), ('street', 1), ('include', 1), ('veteran', 1), ('that', 2), ('work', 2), ('go', 1), ('wealthy', 1), ('campaign', 1), ('contributor', 1)]"
7,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Norah ODonnell,Mayor Bloomberg  let you respond to that. Do you think Senator Sanders' economy would be better for America than President Trump?,5.0,False,"[('mayor', 1), ('bloomberg', 1), ('respond', 1), ('senator', 1), ('sander', 1), ('economy', 1), ('well', 1), ('america', 1), ('president', 1), ('trump', 1)]"
8,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Michael Bloomberg,I think that Donald Trump thinks it would be better if  president. I do not think so. Vladimir Putin thinks that Donald Trump should be President of the United States. And  why Russia is helping you get elected so you lose to him.,19.0,True,"[('donald', 2), ('trump', 2), ('think', 2), ('well', 1), ('vladimir', 1), ('putin', 1), ('president', 1), ('united', 1), ('state', 1), ('and', 1), ('russia', 1), ('help', 1), ('elect', 1)]"
9,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Bernie Sanders,Oh Mr. Bloomberg. Let me tell Mr. Putin. Okay  not a good friend of President Xi of China. I think President Xi is an authoritarian leader. And let me tell Mr. Putin who interfered in the 2016 election try to bring Americans against Americans. Hey Mr. Putin if  President of the United States trust me  not going to interfere in anymore American elections.,27.0,True,"[('mr', 4), ('bloomberg', 1), ('let', 1), ('putin', 3), ('okay', 1), ('friend', 1), ('president', 3), ('china', 1), ('authoritarian', 1), ('leader', 1), ('and', 1), ('interfere', 2), ('election', 2), ('american', 3), ('hey', 1), ('united', 1), ('state', 1), ('trust', 1), ('go', 1), ('anymore', 1)]"
12,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,Look the way I see this is that Bernie is winning right now because the Democratic Party is a progressive party and progressive ideas are popular ideas. Even if there are a lot of people on this stage who  want to say so. But Bernie and I agree on a lot of things but I think I would make a better president than Bernie. And the reason for that is that getting a progressive agenda enacted is going to be really hard and  going to take someone who digs into the details to make it happen. Bernie and I both wanted to help reign in Wall Street. In 2008 we both got our chance but I dug in I fought the big banks I built the coalitions and I won. Bernie and I both want to see universal healthcare but Bernie plan  explain how to get there  show how  going to get enough allies into it and  show enough about how  going to pay for it.,60.0,True,"[('look', 1), ('bernie', 6), ('win', 1), ('democratic', 1), ('party', 2), ('progressive', 3), ('idea', 2), ('popular', 1), ('even', 1), ('but', 1), ('thing', 1), ('well', 1), ('and', 1), ('reason', 1), ('get', 2), ('agenda', 1), ('enact', 1), ('go', 4), ('hard', 1), ('dig', 1), ('detail', 1), ('want', 1), ('reign', 1), ('wall', 1), ('street', 1), ('chance', 1), ('dug', 1), ('fought', 1), ('bank', 1), ('built', 1), ('coalition', 1), ('universal', 1), ('healthcare', 1), ('plan', 1), ('explain', 1), ('ally', 1), ('pay', 1)]"
13,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Elizabeth Warren,I dug in I did the work and then Bernie team trashed me for it. We need a president who is going to dig in do the hard work and actually get it done. Progressive have got one shot and we need to spend it with a leader who will get something done.,19.0,True,"[('dug', 1), ('work', 2), ('bernie', 1), ('team', 1), ('trash', 1), ('go', 1), ('dig', 1), ('hard', 1), ('do', 2), ('progressive', 1), ('get', 1), ('shot', 1), ('spend', 1), ('leader', 1)]"
14,02-25-2020,South Carolina Democratic Debate Transcript: February 25 Democratic Debate,Part 1: South Carolina Democratic Debate Transcript,Gayle King,Mayor Buttigieg we want to bring you in his conversation. Why would the Russians to be working on behalf of Bernie Sanders?,6.0,False,"[('mayor', 1), ('buttigieg', 1), ('conversation', 1), ('why', 1), ('russian', 1), ('work', 1), ('behalf', 1), ('bernie', 1), ('sander', 1)]"
