,word
0,law
1,stronger
2,strongly
3,apartment
4,pursue
5,williamson
6,preyed
7,twitter
8,middleclass
9,tom
10,core
11,reed
12,idea
13,weekend
14,uncle
15,jinping
16,jordan
17,afraid
18,putin
19,latin
20,listen
21,essential
22,significant
23,prior
24,student
25,lifetime
26,mess
27,tent
28,nearly
29,undocumented
30,prek
31,discover
32,ensure
33,month
34,purpose
35,image
36,psychologist
37,degree
38,sponsor
39,equal
40,guatemala
41,gas
42,advantage
43,wind
44,legalize
45,hometown
46,proven
47,switch
48,baltimore
49,onetenth
50,arena
51,crumble
52,proof
53,safer
54,impeach
55,leg
56,march
57,catch
58,elite
59,basically
60,liar
61,research
62,kept
63,persuade
64,corner
65,shrink
66,palestinian
67,differently
68,article
69,fourth
70,business
71,coastal
72,oped
73,available
74,electoral
75,frankly
76,common
77,difference
78,humanity
79,terror
80,overdue
81,precedent
82,closing
83,stress
84,total
85,adequate
86,comply
87,nomination
88,totally
89,van
90,directly
91,assassination
92,solar
93,pregnancy
94,slogan
95,firsthand
96,worth
97,quite
98,mandate
99,recognizes
100,uphold
101,draw
102,easily
103,hostility
104,pipe
105,asian
106,msnbc
107,rebuttal
108,yellow
109,contest
110,candid
111,suppose
112,physical
113,statewide
114,competitive
115,beyond
116,ukraine
117,vermont
118,firearm
119,assistance
120,severely
121,relates
122,global
123,fastest
124,obstruct
125,circle
126,government
127,piece
128,legal
129,emerge
130,cdc
131,tragically
132,custody
133,spectacle
134,honest
135,constituency
136,hollow
137,space
138,segregate
139,goodbye
140,amyklobucharcom
141,uninhabitable
142,displace
143,homeland
144,fully
145,search
146,dunford
147,prayer
148,saturday
149,type
150,check
151,israeli
152,function
153,spoke
154,officer
155,soil
156,crystal
157,generational
158,online
159,specific
160,sideline
161,edge
162,indiana
163,regulation
164,provision
165,expand
166,yada
167,pillar
168,okay
169,deserves
170,trip
171,reign
172,youngest
173,success
174,horrible
175,bill
176,repeal
177,dictate
178,fair
179,transgender
180,heard
181,nature
182,congresswoman
183,vacancy
184,reelection
185,steve
186,chain
187,prescription
188,york
189,surrender
190,deport
191,bought
192,worry
193,married
194,engage
195,chris
196,commitment
197,compete
198,contain
199,source
200,friendship
201,predator
202,narrow
203,analysis
204,weakness
205,incumbent
206,nonsense
207,phrase
208,powerful
209,unity
210,dick
211,city
212,grocery
213,jacking
214,stacey
215,broaden
216,wealthy
217,mileage
218,generic
219,intimidate
220,toward
221,app
222,aloha
223,norah
224,possibly
225,vega
226,rural
227,trading
228,tip
229,sense
230,november
231,quickly
232,commentator
233,impact
234,longest
235,conversation
236,strike
237,hispanic
238,deadline
239,rap
240,struggle
241,capital
242,sexist
243,however
244,hold
245,rico
246,situation
247,wealthiest
248,negotiate
249,oklahoma
250,reminder
251,broke
252,worker
253,ruin
254,sondland
255,decision
256,accountable
257,authoritarian
258,mexican
259,conference
260,commission
261,strengthen
262,firefighter
263,ruling
264,overdose
265,substantially
266,evidence
267,anytime
268,jeopardy
269,steel
270,camp
271,choice
272,mining
273,moines
274,influence
275,deductible
276,kamala
277,close
278,seek
279,crush
280,existential
281,context
282,tackle
283,everywhere
284,malfeasance
285,variety
286,sad
287,decrease
288,stayed
289,ambassador
290,moderate
291,unclear
292,purdue
293,insider
294,drop
295,revolution
296,gun
297,main
298,discriminate
299,opioid
300,divisiveness
301,electrician
302,spread
303,though
304,marshall
305,vote
306,entry
307,feel
308,appeal
309,cokie
310,approval
311,resource
312,section
313,newark
314,citizen
315,pandemic
316,homicide
317,iron
318,grace
319,transfer
320,sits
321,childcare
322,taught
323,justify
324,past
325,coast
326,incentive
327,science
328,able
329,relief
330,flight
331,easy
332,importance
333,northern
334,afford
335,rid
336,nevada
337,zero
338,pool
339,empower
340,urban
341,concerned
342,pose
343,pipeline
344,prioritize
345,judgment
346,target
347,beating
348,harass
349,caput
350,ever
351,notion
352,action
353,step
354,shoot
355,trail
356,demonize
357,africanamericans
358,commander
359,greed
360,conventional
361,catastrophic
362,worst
363,track
364,whose
365,reassure
366,wonderful
367,deployment
368,truck
369,mics
370,isolated
371,university
372,extensive
373,initiative
374,puerto
375,purple
376,finance
377,bush
378,gain
379,framework
380,confuse
381,appreciation
382,innovation
383,throughout
384,street
385,book
386,coach
387,consumer
388,least
389,holder
390,replace
391,summon
392,pilot
393,waitress
394,terrorism
395,may
396,somehow
397,base
398,preschool
399,permanent
400,actual
401,battery
402,signature
403,nickel
404,alive
405,abroad
406,league
407,miss
408,earlier
409,model
410,teenager
411,cuban
412,mislead
413,partisan
414,uyghurs
415,exonerate
416,consider
417,patriot
418,crazy
419,rely
420,currently
421,inequity
422,amaze
423,playground
424,google
425,solitary
426,invoked
427,tire
428,regret
429,terrible
430,alassad
431,deescalation
432,chevron
433,bear
434,paycheck
435,veto
436,grandchild
437,disaster
438,ownership
439,volunteer
440,lack
441,capitol
442,publisher
443,explain
444,bigger
445,worried
446,enroll
447,thousand
448,set
449,travel
450,india
451,obama
452,tech
453,prisoner
454,seeker
455,dismiss
456,institutional
457,winner
458,flat
459,lady
460,uncomfortable
461,employer
462,result
463,brief
464,diminish
465,mark
466,tobacco
467,recover
468,generally
469,symptom
470,exploit
471,none
472,file
473,forprofit
474,tree
475,voting
476,raise
477,class
478,comment
479,high
480,memory
481,giuliani
482,billionaire
483,pull
484,spirit
485,youngstown
486,dump
487,avenue
488,meantime
489,enter
490,classroom
491,selfies
492,reddest
493,russian
494,canada
495,minority
496,supremacy
497,turnout
498,violence
499,power
500,manufacturer
501,end
502,disparity
503,dead
504,anyone
505,greatest
506,socialist
507,sleep
508,popular
509,refinance
510,generation
511,readiness
512,partnership
513,louisiana
514,example
515,daca
516,exhibit
517,overdoses
518,sister
519,inflict
520,current
521,rightwing
522,resolve
523,swing
524,auto
525,joke
526,severe
527,beg
528,culinary
529,chuck
530,state
531,dental
532,small
533,express
534,estimate
535,systematic
536,activist
537,restructure
538,spoken
539,settlement
540,authorize
541,unites
542,attention
543,provider
544,surely
545,semester
546,soleimani
547,lay
548,era
549,aware
550,epidemic
551,luther
552,study
553,buying
554,relocate
555,information
556,wife
557,since
558,govern
559,interrupt
560,aca
561,heat
562,kick
563,bold
564,benefit
565,artificial
566,program
567,focus
568,history
569,opposition
570,strongest
571,taxation
572,slave
573,broken
574,describe
575,likely
576,sibelius
577,community
578,strategic
579,selfserving
580,degrade
581,enrol
582,mention
583,polling
584,reelect
585,dignity
586,smile
587,push
588,ground
589,contract
590,exclusion
591,oath
592,architect
593,faster
594,email
595,smear
596,sell
597,brave
598,bless
599,air
600,fry
601,emission
602,mcconnell
603,entrepreneur
604,virginia
605,wolf
606,throat
607,bennet
608,report
609,described
610,poker
611,cure
612,homeowner
613,parent
614,longer
615,decide
616,antitrust
617,trigger
618,berniesanderscom
619,temperament
620,abortion
621,labor
622,obligation
623,universal
624,consequence
625,infringe
626,valeria
627,nato
628,stretch
629,capitalist
630,democratic
631,dinner
632,coverage
633,improve
634,lewis
635,rudy
636,grandfather
637,age
638,midst
639,manufacturing
640,notice
641,endorsement
642,buy
643,code
644,mondale
645,thought
646,group
647,warren
648,upcoming
649,sustainable
650,represent
651,kitchen
652,analyst
653,wait
654,latest
655,stay
656,columbine
657,simply
658,alone
659,soybean
660,guess
661,list
662,sue
663,unenumerated
664,nonviolent
665,transform
666,work
667,homeless
668,perform
669,combat
670,immediately
671,bend
672,conservative
673,authentic
674,team
675,strong
676,add
677,iraq
678,bar
679,threat
680,hyde
681,enemy
682,lastly
683,eric
684,serious
685,individual
686,meaning
687,withdrawn
688,insurer
689,east
690,direction
691,delighted
692,threatens
693,automatic
694,arrive
695,treat
696,congressional
697,lane
698,nice
699,third
700,alabama
701,john
702,occur
703,dear
704,tune
705,wealth
706,functionally
707,washington
708,drip
709,identify
710,seat
711,final
712,divisive
713,inform
714,racism
715,zealand
716,healthcare
717,restrict
718,trucker
719,epipens
720,anymore
721,household
722,encourage
723,surprise
724,unilaterally
725,anchor
726,fix
727,recommend
728,ego
729,middle
730,orleans
731,roll
732,facility
733,beto
734,transportation
735,propose
736,donor
737,wake
738,exactly
739,pell
740,general
741,bank
742,act
743,lobbyist
744,pledge
745,certain
746,penalty
747,pete
748,theoretical
749,bit
750,river
751,activism
752,bottom
753,unemployment
754,dime
755,prosperity
756,slice
757,blackwhite
758,charter
759,tool
760,frustrate
761,tax
762,command
763,rail
764,whatever
765,cold
766,predict
767,excite
768,historic
769,wave
770,path
771,traditional
772,disproportionately
773,tension
774,aclu
775,conceive
776,bully
777,incarcerate
778,father
779,ship
780,due
781,straightforward
782,lake
783,technology
784,jackson
785,capability
786,criminal
787,supreme
788,catastrophe
789,claimed
790,juror
791,montana
792,tenure
793,willing
794,author
795,money
796,entire
797,preserve
798,jury
799,basis
800,marriage
801,prosecutor
802,jersey
803,sit
804,prosperous
805,human
806,grandpa
807,nuclear
808,underinsured
809,paris
810,department
811,kavanaugh
812,urgent
813,shadow
814,anything
815,profession
816,graham
817,imply
818,japan
819,invasion
820,lester
821,jim
822,bankruptcy
823,genius
824,exchange
825,carolina
826,efficient
827,migrant
828,sorry
829,cycle
830,ripped
831,supporter
832,restoration
833,rather
834,ridiculous
835,native
836,arizona
837,college
838,net
839,swalwell
840,block
841,cry
842,treasury
843,brother
844,consistently
845,occasionally
846,cruel
847,chevy
848,porch
849,syria
850,north
851,picture
852,colleague
853,brady
854,mom
855,recruit
856,refuge
857,outrage
858,deescalate
859,litmus
860,proud
861,usher
862,onto
863,punch
864,peteforamericacom
865,revolutionary
866,convict
867,modest
868,charleston
869,normal
870,deeper
871,word
872,case
873,judge
874,literally
875,double
876,isi
877,practice
878,gather
879,coordinate
880,carbon
881,hurt
882,afghan
883,nextgen
884,responsible
885,abc
886,expectation
887,fossil
888,average
889,blood
890,passion
891,daily
892,jake
893,emotional
894,speech
895,africanamerican
896,defeat
897,guantanamo
898,former
899,pelosi
900,productivity
901,firm
902,deployed
903,ferguson
904,destiny
905,overcome
906,potential
907,safety
908,extra
909,region
910,underway
911,within
912,suppression
913,teacher
914,mideast
915,beaten
916,ryan
917,uranium
918,participation
919,trial
920,praise
921,deepen
922,receive
923,marijuana
924,cross
925,living
926,water
927,diplomatic
928,task
929,dark
930,symbol
931,excitement
932,industrial
933,separate
934,relatively
935,democracy
936,cash
937,fight
938,combination
939,buttigiege
940,range
941,norm
942,syrian
943,followup
944,cancer
945,sworn
946,grotesque
947,wisconsin
948,richest
949,alliance
950,upon
951,courage
952,cooperate
953,bay
954,iran
955,hit
956,confess
957,movement
958,others
959,regulate
960,teamwork
961,educator
962,watergate
963,destruction
964,die
965,eligible
966,date
967,tower
968,daughter
969,strength
970,jewish
971,clinton
972,employee
973,leverage
974,played
975,newshour
976,bus
977,special
978,share
979,management
980,regular
981,alberta
982,nra
983,female
984,card
985,old
986,name
987,assassinate
988,driven
989,unique
990,manager
991,medicareforall
992,cocaine
993,gay
994,tenant
995,believe
996,ideal
997,perception
998,decriminalize
999,steyer
1000,budget
1001,absurd
1002,mental
1003,welch
1004,abolish
1005,blue
1006,childbirth
1007,apart
1008,handful
1009,overhaul
1010,demand
1011,comprehensive
1012,enormous
1013,funeral
1014,solid
1015,salary
1016,canadian
1017,casino
1018,area
1019,door
1020,robert
1021,limited
1022,addict
1023,testify
1024,spend
1025,fellow
1026,oppose
1027,extraordinary
1028,buttigieg
1029,exact
1030,kurd
1031,nicaragua
1032,everybody
1033,cent
1034,disease
1035,legislation
1036,troop
1037,facebook
1038,excellent
1039,prevents
1040,usmca
1041,defend
1042,developed
1043,reform
1044,bedroom
1045,thankfully
1046,mile
1047,bernie
1048,life
1049,defender
1050,conservation
1051,event
1052,laugh
1053,fouryearold
1054,historically
1055,mattis
1056,disadvantage
1057,system
1058,fence
1059,safest
1060,accuse
1061,training
1062,transition
1063,nibble
1064,emergency
1065,tie
1066,ultimately
1067,drink
1068,tall
1069,battlefield
1070,subsidize
1071,betray
1072,hopefully
1073,avoid
1074,punitive
1075,pay
1076,concession
1077,nope
1078,whole
1079,probably
1080,pathway
1081,upgrade
1082,affiliation
1083,treatment
1084,headline
1085,adult
1086,hospital
1087,aside
1088,lawful
1089,patient
1090,buck
1091,opponent
1092,abuse
1093,careful
1094,expectancy
1095,motivate
1096,implementation
1097,activity
1098,structural
1099,along
1100,dirt
1101,liberty
1102,exit
1103,somebody
1104,subject
1105,qualify
1106,overturn
1107,random
1108,imperative
1109,birth
1110,asset
1111,delegate
1112,gift
1113,pentagon
1114,consolidation
1115,secret
1116,grant
1117,xenophobia
1118,roosevelt
1119,wellconnected
1120,standpoint
1121,sea
1122,handle
1123,behind
1124,whoever
1125,personally
1126,pattern
1127,consume
1128,wonder
1129,various
1130,buyback
1131,tsu
1132,speaker
1133,mother
1134,find
1135,destroyed
1136,unit
1137,spin
1138,opportunity
1139,recent
1140,paper
1141,setback
1142,ellen
1143,cybersecurity
1144,james
1145,standard
1146,renegotiate
1147,expert
1148,genocide
1149,politics
1150,expense
1151,site
1152,house
1153,wade
1154,venezuela
1155,option
1156,asks
1157,trans
1158,rethink
1159,administration
1160,alqaeda
1161,registration
1162,gridlock
1163,douglas
1164,agreement
1165,referendum
1166,leader
1167,beijing
1168,chose
1169,insufficiently
1170,warm
1171,nine
1172,congressman
1173,prison
1174,fewer
1175,patriotic
1176,pitch
1177,dog
1178,shortage
1179,select
1180,adopt
1181,hide
1182,disagree
1183,international
1184,peace
1185,yale
1186,private
1187,pocket
1188,ashamed
1189,happy
1190,deny
1191,inspire
1192,giant
1193,liable
1194,strategy
1195,unaffordable
1196,joint
1197,briefing
1198,consensus
1199,florida
1200,forget
1201,entity
1202,endorse
1203,affordable
1204,presidential
1205,unlike
1206,gold
1207,ginsburg
1208,zone
1209,disastrous
1210,booker
1211,privately
1212,nonprofit
1213,twoyear
1214,delaware
1215,scar
1216,suggest
1217,honeymoon
1218,legislature
1219,divorce
1220,cyber
1221,hard
1222,europe
1223,realize
1224,barely
1225,charge
1226,cuomo
1227,aid
1228,miner
1229,local
1230,unify
1231,iranian
1232,defense
1233,west
1234,rig
1235,mortality
1236,incredibly
1237,bail
1238,worthy
1239,magazine
1240,root
1241,brain
1242,potentially
1243,central
1244,race
1245,carpenter
1246,flip
1247,electability
1248,colorado
1249,bork
1250,true
1251,fbi
1252,pain
1253,provide
1254,familiar
1255,smart
1256,decent
1257,worldwide
1258,civilian
1259,risk
1260,exists
1261,eye
1262,fabric
1263,credit
1264,brazil
1265,seven
1266,offering
1267,false
1268,lee
1269,amna
1270,idlib
1271,stuck
1272,torch
1273,trend
1274,virus
1275,august
1276,society
1277,partner
1278,alzheimer
1279,cuba
1280,cage
1281,complete
1282,character
1283,drag
1284,accumulate
1285,eat
1286,midwestern
1287,broader
1288,assault
1289,vehicle
1290,prepared
1291,traumatize
1292,gasoline
1293,honorable
1294,china
1295,ear
1296,hear
1297,train
1298,involves
1299,value
1300,sends
1301,complex
1302,escalation
1303,teammate
1304,soul
1305,closer
1306,transformation
1307,grandson
1308,million
1309,glad
1310,assume
1311,minus
1312,infant
1313,school
1314,brown
1315,precondition
1316,unpopular
1317,george
1318,disappear
1319,strip
1320,unbelievable
1321,ought
1322,boyfriend
1323,legislative
1324,car
1325,except
1326,competition
1327,courageous
1328,save
1329,copayments
1330,process
1331,buddy
1332,borrow
1333,machine
1334,counter
1335,alcoholism
1336,committee
1337,refugee
1338,compromise
1339,trust
1340,loan
1341,independence
1342,blasio
1343,entrepreneurship
1344,material
1345,version
1346,gap
1347,sound
1348,suck
1349,extend
1350,electric
1351,hardworking
1352,nominee
1353,bunch
1354,account
1355,monopoly
1356,fund
1357,motor
1358,brought
1359,speaks
1360,fox
1361,transformative
1362,nurse
1363,codify
1364,nancy
1365,overall
1366,contribute
1367,press
1368,challenged
1369,worse
1370,perpetuate
1371,orientation
1372,loudest
1373,math
1374,recipient
1375,fracking
1376,frustration
1377,urgency
1378,adapt
1379,energy
1380,offense
1381,predatory
1382,publish
1383,understands
1384,los
1385,daddy
1386,farmer
1387,casey
1388,style
1389,capacity
1390,reno
1391,correct
1392,coalfired
1393,limit
1394,opinion
1395,star
1396,unable
1397,hearing
1398,health
1399,misconception
1400,tapped
1401,arrest
1402,rival
1403,release
1404,slavery
1405,crowd
1406,argue
1407,busing
1408,insane
1409,federal
1410,century
1411,cap
1412,percent
1413,vindman
1414,injured
1415,rhetoric
1416,kurdish
1417,repeatedly
1418,either
1419,kathleen
1420,kennedy
1421,label
1422,freedom
1423,designate
1424,barbara
1425,forth
1426,surprised
1427,interest
1428,harassment
1429,advertising
1430,public
1431,together
1432,usual
1433,bridge
1434,implication
1435,amend
1436,experience
1437,ice
1438,involvement
1439,determine
1440,pricing
1441,rightly
1442,proceed
1443,tuitionfree
1444,redemption
1445,radio
1446,globe
1447,tradition
1448,saudi
1449,spur
1450,grassroots
1451,housing
1452,assist
