,vocab,counts
3489,abolish,3
3490,abrams,3
3491,absurd,3
3492,absurdity,3
3493,accumulate,3
3494,acknowledges,3
3495,acquit,3
3496,activate,3
3497,adam,3
3498,adjust,3
3499,affiliation,3
3500,aflcio,3
3501,airport,3
3502,alassad,3
3503,alberta,3
3504,alcoholism,3
3505,alzheimer,3
3506,amend,3
3507,amna,3
3508,amongst,3
3509,analysis,3
3510,analyst,3
3511,angry,3
3512,ank,3
3513,anniversary,3
3514,appear,3
3515,appreciation,3
3516,architect,3
3517,aspect,3
3518,assassinate,3
3519,assassination,3
3520,assistance,3
3521,authentic,3
3522,authorize,3
3523,autistic,3
3524,automatic,3
3525,autopsy,3
3526,avenue,3
3527,aware,3
3528,backup,3
3529,bailout,3
3530,beijing,3
3531,betray,3
3532,betrayal,3
3533,bin,3
3534,birth,3
3535,blackwhite,3
3536,blanket,3
3537,blast,3
3538,blowing,3
3539,boldest,3
3540,boldness,3
3541,bomb,3
3542,both,3
3543,bother,3
3544,brain,3
3545,branch,3
3546,brazil,3
3547,breakdown,3
3548,brett,3
3549,brief,3
3550,briefing,3
3551,bright,3
3552,broaden,3
3553,broader,3
3554,broward,3
3555,buddy,3
3556,bully,3
3557,burn,3
3558,businessman,3
3559,cabinet,3
3560,candid,3
3561,capitalist,3
3562,careful,3
3563,carpenter,3
3564,cartel,3
3565,catastrophic,3
3566,celebrate,3
3567,chant,3
3568,cheney,3
3569,chevron,3
3570,childbirth,3
3571,christopher,3
3572,chunk,3
3573,classroom,3
3574,cnnnew,3
3575,coalfired,3
3576,coastal,3
3577,coherent,3
3578,cokie,3
3579,collect,3
3580,collective,3
3581,collectively,3
3582,columbine,3
3583,communist,3
3584,comply,3
3585,conceive,3
3586,concept,3
3587,concession,3
3588,concrete,3
3589,confidence,3
3590,consists,3
3591,consultant,3
3592,consume,3
3593,contraception,3
3594,contractor,3
3595,convenient,3
3596,convert,3
3597,convincing,3
3598,crash,3
3599,creation,3
3600,criminalization,3
3601,critic,3
3602,criticism,3
3603,crop,3
3604,crumble,3
3605,crystal,3
3606,cuban,3
3607,custody,3
3608,date,3
3609,dealer,3
3610,dear,3
3611,decrease,3
3612,decriminalization,3
3613,deepen,3
3614,deeper,3
3615,deescalation,3
3616,degrade,3
3617,delaware,3
3618,denigrate,3
3619,deploy,3
3620,depoliticize,3
3621,designate,3
3622,determines,3
3623,developed,3
3624,diaper,3
3625,dinner,3
3626,diplomatically,3
3627,disappearance,3
3628,disappointment,3
3629,disarm,3
3630,discover,3
3631,disinvest,3
3632,dismember,3
3633,disrupt,3
3634,divert,3
3635,divorce,3
3636,dog,3
3637,dominates,3
3638,draft,3
3639,drip,3
3640,drought,3
3641,drum,3
3642,dude,3
3643,earner,3
3644,easily,3
3645,eddie,3
3646,efficient,3
3647,ego,3
3648,electricity,3
3649,elena,3
3650,ellen,3
3651,employ,3
3652,employersponsored,3
3653,employment,3
3654,energize,3
3655,entirely,3
3656,entity,3
3657,error,3
3658,escalation,3
3659,ethic,3
3660,evolution,3
3661,evolve,3
3662,exclusion,3
3663,exhaust,3
3664,exhaustion,3
3665,exhibit,3
3666,exonerate,3
3667,expectation,3
3668,expediency,3
3669,extra,3
3670,eyeglass,3
3671,fabric,3
3672,fails,3
3673,familiar,3
3674,fat,3
3675,fbi,3
3676,fearless,3
3677,fee,3
3678,file,3
3679,fin,3
3680,firearm,3
3681,flight,3
3682,forbid,3
3683,foremost,3
3684,forgive,3
3685,formal,3
3686,founder,3
3687,fouryear,3
3688,frame,3
3689,francisco,3
3690,fry,3
3691,functionally,3
3692,funeral,3
3693,funny,3
3694,gasoline,3
3695,generally,3
3696,giuliani,3
3697,globe,3
3698,golf,3
3699,goodbye,3
3700,gop,3
3701,grandparent,3
3702,grandson,3
3703,grotesque,3
3704,gunshot,3
3705,harassment,3
3706,headache,3
3707,heartbreaking,3
3708,heartland,3
3709,heat,3
3710,hiding,3
3711,highly,3
3712,hollow,3
3713,homeowner,3
3714,honorable,3
3715,hooked,3
